"Activity Name","Course Code","Activity Host Key","Actvity Type","Day Name","Start Time","End Time","Location Name"
"MATH1 Engineering Mathematics 1a/Maths for Natural Sciences 1a - Q&A Session","MATH08072_SS1_SEM1","#SPLUS6B55CF","Tutorial - Online Live","Wednesday","11:10","12:00",""
"MATH1 MNS1a - Tutorial (online)/09","MATH08072_SS1_SEM1","#SPLUS1BB2B7","Tutorial - Online Live","Thursday","17:10","18:00",""
"MATH1 MNS1a - Tutorial (online)/10","MATH08072_SS1_SEM1","#SPLUS1BB2C3","Tutorial - Online Live","Friday","12:10","13:00",""
"MATH1 MNS1a - Tutorial/01","MATH08072_SS1_SEM1","#SPLUS1BB2AF","Tutorial","Thursday","14:10","15:00","Lecture Theatre 2"
"MATH1 MNS1a - Tutorial/02","MATH08072_SS1_SEM1","#SPLUS1BB2B1","Tutorial","Thursday","15:10","16:00","Lecture Theatre 2"
"MATH1 MNS1a - Tutorial/03","MATH08072_SS1_SEM1","#SPLUS1BB2B3","Tutorial","Thursday","16:10","17:00","Lecture Theatre 2"
"MATH1 MNS1a - Tutorial/04","MATH08072_SS1_SEM1","#SPLUS1BB2B5","Tutorial","Thursday","17:10","18:00","Lecture Theatre 2"
"MATH1 MNS1a - Tutorial/05","MATH08072_SS1_SEM1","#SPLUS1BB2BB","Tutorial","Friday","9:00","9:50","Lecture Theatre 2"
"MATH1 MNS1a - Tutorial/06","MATH08072_SS1_SEM1","#SPLUS1BB2BD","Tutorial","Friday","10:00","10:50","Lecture Theatre 2"
"MATH1 MNS1a - Tutorial/07","MATH08072_SS1_SEM1","#SPLUS1BB2BF","Tutorial","Friday","11:10","12:00","Lecture Theatre 2"
"MATH1 MNS1a - Tutorial/08","MATH08072_SS1_SEM1","#SPLUS1BB2C1","Tutorial","Friday","12:10","13:00","Lecture Theatre 2"
"MATH1 EM1a - Tutorial(onilne)/12","MATH08074_SS1_SEM1","#SPLUS1BB291","Workshop - Online Live","Thursday","12:10","13:00",""
"MATH1 EM1a - Tutorial(online)/05","MATH08074_SS1_SEM1","#SPLUS1BB28F","Workshop - Online Live","Thursday","10:00","10:50",""
"MATH1 EM1a - Tutorial(online)/16","MATH08074_SS1_SEM1","#SPLUS1BB293","Workshop - Online Live","Thursday","15:10","16:00",""
