"Name","Module Host Key","Host Key","Activity Type Name","Scheduled Days","Scheduled Start Time","Scheduled End Time","Allocated Location Name","Team"
"MATH2 FoM - Tut (Suite 2)/13","MATH08068_SV1_SEM1","#SPLUSE99773","Tutorial","Monday","15:30","16:30","1501","2020-Facets-Mon-15:30"
"MATH2 FoM - Tut (Suite 2)/14","MATH08068_SV1_SEM1","#SPLUSD98A15","Tutorial","Monday","15:30","16:30","3217 - Teaching Studio","2020-Facets-Mon-15:30"
"MATH2 FoM - Tut (Suite 3)/15","MATH08068_SV1_SEM1","#SPLUSE99754","Tutorial","Monday","12:10","13:00","6301","2020-Facets-Mon-12:00"
"MATH2 FoM - Tut (Suite 3)/16","MATH08068_SV1_SEM1","#SPLUSE99756","Tutorial","Monday","12:10","13:00","6201","2020-Facets-Mon-12:00"
"MATH2 FoM - Tut (Suite 3)/17","MATH08068_SV1_SEM1","#SPLUSE99758","Tutorial","Monday","12:10","13:00","6206","2020-Facets-Mon-12:00"
"MATH2 FoM - Tut (Suite 3)/18","MATH08068_SV1_SEM1","#SPLUSE99778","Tutorial","Monday","15:30","16:30","6301","2020-Facets-Mon-15:30"
"MATH2 FoM - Tut (Suite 3)/19","MATH08068_SV1_SEM1","#SPLUSE9977A","Tutorial","Monday","15:30","16:30","6201","2020-Facets-Mon-15:30"
"MATH2 FoM - Tut (Suite 3)/20","MATH08068_SV1_SEM1","#SPLUSE9977C","Tutorial","Monday","15:30","16:30","6206","2020-Facets-Mon-15:30"
"MATH1 MNS1a - Tutorial (online)/09","MATH08072_SS1_SEM1","#SPLUS1BB2B7","Tutorial - Online Live","Thursday","17:10","18:00","","2020-MNS-Thur-17:10"
"MATH1 MNS1a - Tutorial (online)/10","MATH08072_SS1_SEM1","#SPLUS1BB2C3","Tutorial - Online Live","Friday","12:10","13:00","","2020-MNS-Fri-12.10"
"MATH1 MNS1a - Tutorial/01","MATH08072_SS1_SEM1","#SPLUS1BB2AF","Tutorial","Thursday","14:10","15:00","Lecture Theatre 2","2020-MNS-Thur-14:10"
"MATH1 MNS1a - Tutorial/02","MATH08072_SS1_SEM1","#SPLUS1BB2B1","Tutorial","Thursday","15:10","16:00","Lecture Theatre 2","2020-MNS-Thur-15:10"
"MATH1 MNS1a - Tutorial/03","MATH08072_SS1_SEM1","#SPLUS1BB2B3","Tutorial","Thursday","16:10","17:00","Lecture Theatre 2","2020-MNS-Thur-16:10"
"MATH1 MNS1a - Tutorial/04","MATH08072_SS1_SEM1","#SPLUS1BB2B5","Tutorial","Thursday","17:10","18:00","Lecture Theatre 2","2020-MNS-Thur-17:10"
